1 0
294 10584
0 42 0.600551
0 43 0.567192
0 44 0.468333
0 45 0.570727
0 46 0.615667
0 47 0.405319
0 48 0.591093
0 49 0.520175
0 50 0.582957
0 51 0.610579
0 52 0.620503
0 53 0.597134
0 54 0.579136
0 55 0.541107
0 56 0.449114
0 57 0.457823
0 58 0.569658
0 59 0.562416
0 60 0.622176
0 61 0.650144
0 62 0.620821
0 63 0.583165
0 64 0.545555
0 65 0.384541
0 66 0.468203
0 67 0.515045
0 68 0.581469
0 69 0.572518
0 70 0.607484
0 71 0.550401
0 72 0.521954
0 73 0.494437
0 74 0.511288
0 75 0.277963
0 76 0.47465
0 77 0.461168
0 78 0.573549
0 79 0.529757
0 80 0.603045
0 81 0.460944
0 82 0.540382
0 83 0.614667
1 42 0.600551
1 43 0.567192
1 44 0.468333
1 45 0.570727
1 46 0.615667
1 47 0.405319
1 48 0.591093
1 49 0.520175
1 50 0.582957
1 51 0.610579
1 52 0.620503
1 53 0.597134
1 54 0.579136
1 55 0.541107
1 56 0.449114
1 57 0.457823
1 58 0.569658
1 59 0.562416
1 60 0.622176
1 61 0.650144
1 62 0.620821
1 63 0.583165
1 64 0.545555
1 65 0.384541
1 66 0.468203
1 67 0.515045
1 68 0.581469
1 69 0.572518
1 70 0.607484
1 71 0.550401
1 72 0.521954
1 73 0.494437
1 74 0.511288
1 75 0.277963
1 76 0.47465
1 77 0.461168
1 78 0.573549
1 79 0.529757
1 80 0.603045
1 81 0.460944
1 82 0.540382
1 83 0.614667
2 42 0.600551
2 43 0.567192
2 44 0.468333
2 45 0.570727
2 46 0.615667
2 47 0.405319
2 48 0.591093
2 49 0.520175
2 50 0.582957
2 51 0.610579
2 52 0.620503
2 53 0.597134
2 54 0.579136
2 55 0.541107
2 56 0.449114
2 57 0.457823
2 58 0.569658
2 59 0.562416
2 60 0.622176
2 61 0.650144
2 62 0.620821
2 63 0.583165
2 64 0.545555
2 65 0.384541
2 66 0.468203
2 67 0.515045
2 68 0.581469
2 69 0.572518
2 70 0.607484
2 71 0.550401
2 72 0.521954
2 73 0.494437
2 74 0.511288
2 75 0.277963
2 76 0.47465
2 77 0.461168
2 78 0.573549
2 79 0.529757
2 80 0.603045
2 81 0.460944
2 82 0.540382
2 83 0.614667
3 42 0.600551
3 43 0.567192
3 44 0.468333
3 45 0.570727
3 46 0.615667
3 47 0.405319
3 48 0.591093
3 49 0.520175
3 50 0.582957
3 51 0.610579
3 52 0.620503
3 53 0.597134
3 54 0.579136
3 55 0.541107
3 56 0.449114
3 57 0.457823
3 58 0.569658
3 59 0.562416
3 60 0.622176
3 61 0.650144
3 62 0.620821
3 63 0.583165
3 64 0.545555
3 65 0.384541
3 66 0.468203
3 67 0.515045
3 68 0.581469
3 69 0.572518
3 70 0.607484
3 71 0.550401
3 72 0.521954
3 73 0.494437
3 74 0.511288
3 75 0.277963
3 76 0.47465
3 77 0.461168
3 78 0.573549
3 79 0.529757
3 80 0.603045
3 81 0.460944
3 82 0.540382
3 83 0.614667
4 42 0.600551
4 43 0.567192
4 44 0.468333
4 45 0.570727
4 46 0.615667
4 47 0.405319
4 48 0.591093
4 49 0.520175
4 50 0.582957
4 51 0.610579
4 52 0.620503
4 53 0.597134
4 54 0.579136
4 55 0.541107
4 56 0.449114
4 57 0.457823
4 58 0.569658
4 59 0.562416
4 60 0.622176
4 61 0.650144
4 62 0.620821
4 63 0.583165
4 64 0.545555
4 65 0.384541
4 66 0.468203
4 67 0.515045
4 68 0.581469
4 69 0.572518
4 70 0.607484
4 71 0.550401
4 72 0.521954
4 73 0.494437
4 74 0.511288
4 75 0.277963
4 76 0.47465
4 77 0.461168
4 78 0.573549
4 79 0.529757
4 80 0.603045
4 81 0.460944
4 82 0.540382
4 83 0.614667
5 42 0.600551
5 43 0.567192
5 44 0.468333
5 45 0.570727
5 46 0.615667
5 47 0.405319
5 48 0.591093
5 49 0.520175
5 50 0.582957
5 51 0.610579
5 52 0.620503
5 53 0.597134
5 54 0.579136
5 55 0.541107
5 56 0.449114
5 57 0.457823
5 58 0.569658
5 59 0.562416
5 60 0.622176
5 61 0.650144
5 62 0.620821
5 63 0.583165
5 64 0.545555
5 65 0.384541
5 66 0.468203
5 67 0.515045
5 68 0.581469
5 69 0.572518
5 70 0.607484
5 71 0.550401
5 72 0.521954
5 73 0.494437
